,Periods,Price
524,5/12/1991,888.95
525,6/12/1991,888.95
526,9/12/1991,888.95
527,10/12/1991,888.95
528,11/12/1991,888.95
529,12/12/1991,888.95
530,13/12/1991,888.95
531,16/12/1991,888.95
532,17/12/1991,888.95
533,18/12/1991,888.95
534,19/12/1991,888.95
535,20/12/1991,888.95
536,23/12/1991,888.95
537,24/12/1991,888.95
538,25/12/1991,888.95
539,26/12/1991,888.95
540,27/12/1991,888.95
541,30/12/1991,888.95
542,31/12/1991,953.376
543,1/1/1992,953.376
544,2/1/1992,953.376
545,3/1/1992,953.376
546,6/1/1992,953.376
547,7/1/1992,953.376
548,8/1/1992,953.376
549,9/1/1992,953.376
550,10/1/1992,953.376
551,13/1/1992,953.376
552,14/1/1992,953.376
553,15/1/1992,953.376
554,16/1/1992,953.376
555,17/1/1992,953.376
556,20/1/1992,953.376
557,21/1/1992,953.376
558,22/1/1992,953.376
559,23/1/1992,953.376
560,24/1/1992,953.376
561,27/1/1992,953.376
562,28/1/1992,953.376
563,29/1/1992,953.376
564,30/1/1992,953.376
565,31/1/1992,935.445
566,3/2/1992,935.445
567,4/2/1992,935.445
568,5/2/1992,935.445
569,6/2/1992,935.445
570,7/2/1992,935.445
571,10/2/1992,935.445
572,11/2/1992,935.445
573,12/2/1992,935.445
574,13/2/1992,935.445
575,14/2/1992,935.445
576,17/2/1992,935.445
577,18/2/1992,935.445
578,19/2/1992,935.445
579,20/2/1992,935.445
580,21/2/1992,935.445
581,24/2/1992,935.445
582,25/2/1992,935.445
583,26/2/1992,935.445
584,27/2/1992,935.445
585,28/2/1992,919.024
586,2/3/1992,919.024
587,3/3/1992,919.024
588,4/3/1992,919.024
589,5/3/1992,919.024
590,6/3/1992,919.024
591,9/3/1992,919.024
592,10/3/1992,919.024
593,11/3/1992,919.024
594,12/3/1992,919.024
595,13/3/1992,919.024
596,16/3/1992,919.024
597,17/3/1992,919.024
598,18/3/1992,919.024
599,19/3/1992,919.024
600,20/3/1992,919.024
601,23/3/1992,919.024
602,24/3/1992,919.024
603,25/3/1992,919.024
604,26/3/1992,919.024
605,27/3/1992,919.024
606,30/3/1992,919.024
607,31/3/1992,875.451
608,1/4/1992,875.451
609,2/4/1992,875.451
610,3/4/1992,875.451
611,6/4/1992,875.451
612,7/4/1992,875.451
613,8/4/1992,875.451
614,9/4/1992,875.451
615,10/4/1992,875.451
616,13/4/1992,875.451
617,14/4/1992,875.451
618,15/4/1992,875.451
619,16/4/1992,875.451
620,17/4/1992,875.451
621,20/4/1992,875.451
622,21/4/1992,875.451
623,22/4/1992,875.451
624,23/4/1992,875.451
625,24/4/1992,875.451
626,27/4/1992,875.451
627,28/4/1992,875.451
628,29/4/1992,875.451
629,30/4/1992,887.368
630,1/5/1992,887.368
631,4/5/1992,887.368
632,5/5/1992,887.368
633,6/5/1992,887.368
634,7/5/1992,887.368
635,8/5/1992,887.368
636,11/5/1992,887.368
637,12/5/1992,887.368
638,13/5/1992,887.368
